1744	2355	0
33	2356	1
16	2357	0
16	2358	0
16	2359	1
365	2360	0
180	2361	1
180	2362	2
1406	2363	0
1406	2364	0
2141	2365	1
543	2366	3
243	2367	4
1587	2368	4
1856	2369	1
1686	2370	0
586	2371	1
820	2372	0
446	2373	0
446	2374	0
952	2375	1
114	2376	1
1241	2377	1
807	2378	5
1886	2379	6
1511	2380	0
1511	2381	1
28	2382	4
469	2383	7
790	2384	8
1197	2385	1
1582	2386	0
1379	2387	0
1379	2388	1
2036	2389	0
2036	2383	7
1264	2390	0
1910	2391	1
862	2392	1
921	2393	0
710	2394	1
710	2395	1
864	2396	5
208	2397	0
1392	2398	0
1392	2399	4
1000	2383	7
224	2400	1
1564	2401	1
1027	2402	6
139	2403	0
139	2404	0
139	2405	4
2272	2406	1
29	2407	8
559	2408	4
841	2409	9
2175	2410	1
1953	2411	1
760	2412	1
979	2413	4
1359	2414	0
1366	2415	0
1366	2416	1
1666	2417	1
2300	2418	4
735	2419	1
2051	2420	0
906	2421	1
88	2422	10
1659	2423	10
1491	2424	1
1280	2425	1
2293	2426	0
1128	2427	1
1865	2428	0
1865	2429	1
1182	2430	0
1683	2431	6
879	2432	1
879	2433	1
8	2434	0
8	2435	1
891	2436	0
1685	2437	1
1080	2438	7
1239	2439	1
641	2440	4
89	2441	1
1747	2442	1
2090	2409	9
1773	2443	11
1669	2444	1
1843	2445	0
1860	2409	9
324	2446	1
176	2447	0
432	2448	0
432	2449	1
203	2450	1
513	2451	1
513	2452	1
513	2453	1
2334	2454	10
566	2455	0
1760	2456	1
2310	2457	1
23	2458	0
1545	2459	8
79	2460	0
1370	2461	0
321	2462	1
744	2463	1
2316	2464	0
931	2465	0
76	2466	1
592	2467	1
1133	2468	0
1202	2469	12
1805	2470	1
938	2471	1
938	2472	4
51	2473	1
2092	2474	9
356	2475	1
356	2476	5
1052	2477	1
1052	2478	1
1383	2479	3
948	2480	1
948	2481	1
1617	2482	0
2204	2483	10
318	2484	0
318	2485	4
418	2486	12
418	2487	1
1136	2488	13
1480	2489	1
1480	2490	2
1026	2491	0
594	2492	4
1486	2493	1
1883	2494	0
995	2495	1
145	2496	0
277	2497	3
1585	2498	3
127	2499	1
11	2500	0
11	2501	1
57	2502	1
1931	2503	14
1931	2504	1
1931	2505	1
1738	2506	1
58	2507	1
1377	2383	7
1377	2508	1
920	2509	0
2217	2510	0
2217	2511	0
138	2512	13
997	2513	0
2200	2514	0
1537	2515	1
1196	2516	0
1196	2517	0
565	2518	0
2308	2519	15
692	2520	0
692	2521	1
1542	2522	5
1226	2523	0
935	2524	0
935	2525	1
824	2526	0
883	2527	0
883	2528	0
2184	2529	0
1599	2530	0
1599	2531	0
1599	2532	1
620	2533	1
1057	2534	0
1070	2535	0
1070	2536	1
1070	2537	4
323	2538	0
2317	2539	1
460	2540	0
1482	2541	1
943	2542	1
1094	2543	0
1094	2544	1
2066	2545	16
1737	2383	7
573	2546	17
343	2547	1
986	2548	1
1887	2549	0
537	2550	0
537	2551	1
1255	2552	4
825	2553	0
503	2554	1
1554	2409	9
2048	2555	0
1730	2556	6
1318	2557	15
1297	2558	0
1789	2559	0
351	2560	0
630	2561	1
168	2562	0
126	2563	1
2342	2564	0
1011	2565	0
1011	2566	1
1631	2567	0
1298	2568	1
2245	2569	0
915	2570	1
857	2571	4
1693	2572	11
722	2573	0
1988	2574	4
1847	2575	0
1847	2576	1
241	2469	12
1006	2577	15
450	2578	0
1526	2579	9
1955	2580	0
478	2581	0
1023	2582	1
1023	2583	1
85	2584	9
1438	2585	0
1514	2586	0
1799	2587	0
602	2588	18
390	2589	4
80	2590	0
2280	2591	0
1831	2592	15
1168	2593	17
130	2594	1
73	2595	0
248	2596	0
642	2597	1
1896	2598	0
262	2599	3
153	2600	4
141	2601	1
1840	2602	1
265	2603	1
2041	2604	13
2201	2465	0
462	2605	9
1093	2606	0
1949	2607	1
1512	2608	1
1628	2609	19
1757	2610	1
1757	2611	8
755	2612	1
2162	2613	14
1351	2614	0
278	2615	0
278	2616	4
1750	2617	0
1303	2618	1
1712	2619	0
1957	2620	1
1957	2621	5
1979	2622	5
1463	2623	0
1463	2624	0
1463	2625	6
397	2626	1
234	2627	0
234	2628	1
1313	2629	9
1437	2630	15
1437	2631	8
373	2632	0
567	2633	0
455	2634	9
290	2635	10
2001	2636	15
1131	2637	1
1636	2638	1
990	2639	1
142	2640	0
2188	2641	5
67	2642	0
502	2643	8
2281	2545	16
1625	2644	0
1509	2645	1
209	2646	1
1186	2647	0
2239	2648	0
1427	2649	0
485	2650	0
878	2651	0
2002	2652	0
1053	2653	13
83	2654	11
699	2655	0
699	2656	1
854	2657	0
2344	2658	0
405	2659	1
2350	2660	9
1710	2661	0
2173	2662	1
1360	2663	1
61	2664	4
2209	2665	0
2209	2666	0
120	2667	1
74	2668	0
1592	2669	0
1819	2670	11
1863	2671	0
1355	2672	1
1117	2673	0
1692	2674	0
1692	2675	1
1397	2676	0
1397	2677	1
914	2678	0
2212	2679	0
2304	2680	0
652	2681	0
2320	2682	0
873	2683	0
873	2684	1
745	2685	1
380	2686	16
480	2687	1
480	2688	4
346	2689	1
2301	2690	1
1807	2691	0
1807	2692	0
360	2693	0
360	2469	12
761	2694	5
261	2695	1
2111	2696	1
1293	2697	0
1293	2698	0
624	2699	15
1434	2700	1
1936	2701	1
1627	2702	0
581	2703	0
2026	2704	1
1633	2705	1
1667	2706	1
459	2707	1
194	2708	0
218	2709	0
1550	2710	1
2055	2711	1
1199	2712	1
1523	2713	9
1796	2714	1
1347	2715	1
637	2716	1
625	2383	7
1378	2717	1
999	2718	1
999	2719	1
1465	2720	1
2179	2721	0
2179	2722	1
